Jackson;32.3134;-90.1720
Colorado Springs;38.8521;-104.7777
Fort Leonard Wood;37.7672;-92.0991
Colorado Springs;38.9142;-104.7749
Colorado Springs;38.7629;-104.8479
Colorado Springs;38.8765;-104.8288
Colorado Springs;38.9299;-104.8740
Scottsdale;33.4912;-111.9237
Woodland Park;38.9939;-105.0569
Colorado Springs;39.0311;-104.8054
Omaha;41.2628;-96.1164
Highland;34.1283;-117.2087
Englewood;39.5690;-104.8582
Philadelphia;39.8721;-75.2548
Palmer Lake;39.1222;-104.9172
Birmingham;33.5426;-86.6702
Phoenix;33.8366;-112.1189
Omaha;41.2349;-96.0490
Arlington;38.9084;-77.1201
Omaha;41.2061;-96.0451
Winnebago;42.2344;-96.4887
Norfolk;42.0283;-97.4170
Pierce;42.2063;-97.5723
Santa Fe;35.6870;-105.9378
Albuquerque;35.0441;-106.8904
East Brunswick;40.4283;-74.4178
Columbia;39.2404;-76.8394
El Paso;31.7958;-106.3762
Grants;35.1473;-107.8514
Espanola;35.9911;-106.0806
Inglewood;33.9617;-118.3531
Dulce;36.9336;-106.9989
El Paso;31.7832;-106.4976
Albuquerque;35.1988;-106.7035
El Paso;31.8545;-106.5330
Red Bluff;40.1785;-122.2358
Aztec;36.8716;-107.8885
West Palm Beach;26.7200;-80.0702
Deming;32.2246;-107.7635
Albuquerque;35.1500;-106.5728
Lovington;32.9440;-103.3486
Chicago;41.8776;-87.6272
Las Cruces;32.3047;-106.6417
Mocksville;35.8940;-80.5614
Columbus;40.0345;-82.8695
Roswell;33.3944;-104.5249
El Paso;31.7435;-106.2969
Kansas City;39.0997;-94.5786
Elk Grove Village;42.0039;-87.9703
Merced;37.2900;-120.4888
Santa Fe;35.6340;-106.0850
Orlando;28.5883;-81.2439
Carlsbad;32.4207;-104.2288
Maljamar;32.8854;-103.7113
Chillicothe;39.3331;-82.9824
Mountainair;34.4851;-106.2263
Hobbs;32.7026;-103.1360
Albuquerque;35.1789;-106.5887
Bethesda;38.9543;-77.1159
Denver;39.7525;-104.9995
Portland;45.4691;-122.5535
Albuquerque;35.0585;-106.6236
Las Cruces;32.2714;-106.7373
Baton Rouge;30.4386;-91.1703
Livonia;42.4250;-83.3744
Skokie;42.0347;-87.7614
Commerce City;39.8083;-104.9339
Englewood;39.6237;-104.8738
Fort Collins;40.5853;-105.0844
Moody A F B;30.9668;-83.1896
Pittsburg;37.3506;-94.6819
Grand Rapids;42.9777;-85.7110
Lincoln;40.8176;-96.7114
Fremont;41.4333;-96.4981
Columbus;41.5120;-97.3470
Omaha;41.2615;-96.0527
Kearney;40.7499;-99.1980
North Sioux City;42.5241;-96.4998
Denver;39.7041;-104.9339
Mount Laurel;39.9340;-74.8910
